Status;Carta-Consulta;Modalidade;UF;Município;Agente Financeiro;Proponente;Empreendimento;Valor de Contrapartida (R$);Valor de Empréstimo (R$);Valor de Investimento (R$)
Não enquadrada pelo Agente Financeiro;1362.2.2012/2017;Qualificação Viária;CE;Graça;Caixa Econômica Federal;Prefeitura Municipal de Graça;Qualificação Viária do Prefeitura Municipal de Graça;R$ 227.592,08;R$ 4.324.249,51;R$ 4.551.841,59
Em análise de enquadramento;554.25.1809/2017;Qualificação Viária;MG;Pouso Alegre;Caixa Econômica Federal;Prefeitura Municipal de Pouso Alegre;Qualificação Viária do Prefeitura Municipal de Pouso Alegre;R$ 2.992.985,02;R$ 30.000.000,00;R$ 32.992.985,02
Pré-selecionada pelo Gestor da Aplicação;427.2.3108/2017;Qualificação Viária;SC;Palmitos;Caixa Econômica Federal;Município de Palmitos;Qualificação Viária do Município de Palmitos;R$ 199.945,00;R$ 3.798.954,92;R$ 3.998.899,92
Não enquadrada pelo Agente Financeiro;1070.2.1411/2017;Qualificação Viária;SP;Rio Claro;Caixa Econômica Federal;Prefeitura Municipal de Rio Claro;Qualificação Viária do Prefeitura Municipal de Rio Claro;R$ 85.667,45;R$ 1.627.681,51;R$ 1.713.348,96
Selecionada pelo gestor da aplicação;31.2.0208/2017;Qualificação Viária;SC;Rio Negrinho;Caixa Econômica Federal;Prefeitura Municipal de Rio Negrinho;Qualificação Viária do Prefeitura Municipal de Rio Negrinho;R$ 349.556,40;R$ 6.641.571,60;R$ 6.991.128,00
Não enquadrada pelo Agente Financeiro;579.2.2009/2017;Qualificação Viária;SC;Barra Velha;Caixa Econômica Federal;Prefeitura Municipal de Barra Velha;Qualificação Viária do Prefeitura Municipal de Barra Velha;R$ 423.393,00;R$ 8.044.467,00;R$ 8.467.860,00
Em análise de enquadramento;534.245.1509/2017;Qualificação Viária;MG;Poços de Caldas;Caixa Econômica Federal;Prefeitura Municipal de Poços de Caldas;Qualificação Viária do Prefeitura Municipal de Poços de Caldas;R$ 1.416.993,30;R$ 26.922.872,67;R$ 28.339.865,97
Pré-selecionada pelo Gestor da Aplicação;476.2.0809/2017;Qualificação Viária;SC;Bela Vista do Toldo;Caixa Econômica Federal;Prefeitura Municipal de Bela Vista do Toldo;Qualificação Viária do Prefeitura Municipal de Bela Vista do Toldo;R$ 131.965,78;R$ 2.507.349,72;R$ 2.639.315,50
Devolvida ao Proponente;607.2.2209/2017;Qualificação Viária;SE;Japaratuba;Caixa Econômica Federal;Prefeitura Municipal de Japaratuba;Qualificação Viária do Prefeitura Municipal de Japaratuba;R$ 40.000,00;R$ 760.000,00;R$ 800.000,00
Selecionada pelo gestor da aplicação;32.2.0208/2017;Qualificação Viária;SC;Rio Negrinho;Caixa Econômica Federal;Prefeitura Municipal de Rio Negrinho;Qualificação Viária do Prefeitura Municipal de Rio Negrinho;R$ 72.130,50;R$ 1.370.479,50;R$ 1.442.610,00
Pré-selecionada pelo Gestor da Aplicação;839.3.1610/2017;Transporte Não Motorizado;SC;Serra Alta;Agência de Fomento de Santa Catarina - Badesc;Prefeitura Municipal de Serra Alta;Transporte Não Motorizado do Prefeitura Municipal de Serra Alta;R$ 38.800,00;R$ 737.200,00;R$ 776.000,00
Em análise de enquadramento;438.24.0109/2017;Qualificação Viária;RS;Taquari;Caixa Econômica Federal;Prefeitura Municipal de Taquari;Qualificação Viária do Prefeitura Municipal de Taquari;R$ 266.295,29;R$ 5.059.610,41;R$ 5.325.905,70
Pré-selecionada pelo Gestor da Aplicação;444.2.0409/2017;Qualificação Viária;SC;Urupema;Caixa Econômica Federal;Prefeitura Municipal de Urupema;Qualificação Viária do Prefeitura Municipal de Urupema;R$ 119.078,84;R$ 2.262.497,89;R$ 2.381.576,73
Não enquadrada pelo Agente Financeiro;492.24.1109/2017;Qualificação Viária;MS;Amambai;Caixa Econômica Federal;Prefeitura Municipal de Amambai;Qualificação Viária do Prefeitura Municipal de Amambai;R$ 749.998,29;R$ 14.249.967,38;R$ 14.999.965,67
Não enquadrada pelo Agente Financeiro;440.2.0209/2017;Qualificação Viária;MA;Caxias;Caixa Econômica Federal;Prefeitura Municipal de Caxias;Qualificação Viária do Prefeitura Municipal de Caxias;R$ 707.500,00;R$ 13.442.500,00;R$ 14.150.000,00
Não enquadrada pelo Agente Financeiro;844.2.1710/2017;Qualificação Viária;GO;Itaberaí;Caixa Econômica Federal;Prefeitura Municipal de Itaberaí;Qualificação Viária do Prefeitura Municipal de Itaberaí;R$ 749.450,47;R$ 12.378.339,43;R$ 13.127.789,90
Em análise de enquadramento;710.3.0210/2017;Transporte Não Motorizado;SC;Doutor Pedrinho;Caixa Econômica Federal;Prefeitura Municipal de Doutor Pedrinho;Transporte Não Motorizado do Prefeitura Municipal de Doutor Pedrinho;R$ 194.981,10;R$ 3.704.640,73;R$ 3.899.621,83
Não enquadrada pelo Agente Financeiro;1449.2.2912/2017;Qualificação Viária;RS;Tavares;Caixa Econômica Federal;Prefeitura Municipal de Tavares;Qualificação Viária do Prefeitura Municipal de Tavares;R$ 89.550,00;R$ 1.701.450,00;R$ 1.791.000,00
Não enquadrada pelo Agente Financeiro;538.24.1609/2017;Qualificação Viária;MA;Timon;Caixa Econômica Federal;Prefeitura Municipal de Timon;Qualificação Viária do Prefeitura Municipal de Timon;R$ 1.542.617,45;R$ 28.411.959,76;R$ 29.954.577,21
Não enquadrada pelo Agente Financeiro;584.2.2109/2017;Qualificação Viária;PE;Mirandiba;Caixa Econômica Federal;Prefeitura Municipal de Mirandiba;Qualificação Viária do Prefeitura Municipal de Mirandiba;R$ 242.500,00;R$ 4.607.500,00;R$ 4.850.000,00
Em análise de enquadramento;486.2.1109/2017;Qualificação Viária;CE;Pacatuba;Caixa Econômica Federal;Prefeitura Municipal de Pacatuba;Qualificação Viária do Prefeitura Municipal de Pacatuba;R$ 447.243,25;R$ 8.497.621,74;R$ 8.944.864,99
Não enquadrada pelo Agente Financeiro;468.2.0609/2017;Qualificação Viária;CE;Aracati;Banco do Brasil;Prefeitura Municipal de Aracati;Qualificação Viária do Prefeitura Municipal de Aracati;R$ 983.506,50;R$ 18.686.623,50;R$ 19.670.130,00
Em análise de enquadramento;446.3.0409/2017;Transporte Não Motorizado;PR;Coronel Vivida;Caixa Econômica Federal;Prefeitura Municipal de Coronel Vivida;Transporte Não Motorizado do Prefeitura Municipal de Coronel Vivida;R$ 150.000,00;R$ 2.850.000,00;R$ 3.000.000,00
Não enquadrada pelo Agente Financeiro;388.2.2808/2017;Qualificação Viária;PE;Venturosa;Caixa Econômica Federal;Prefeitura Municipal de Venturosa;Qualificação Viária do Prefeitura Municipal de Venturosa;R$ 191.905,95;R$ 3.646.212,88;R$ 3.838.118,83
Em análise de enquadramento;801.2.1010/2017;Qualificação Viária;PR;Florestópolis;Caixa Econômica Federal;Prefeitura Municipal de Florestópolis;Qualificação Viária do Prefeitura Municipal de Florestópolis;R$ 47.000,00;R$ 893.000,00;R$ 940.000,00
Selecionada pelo gestor da aplicação;558.2.1909/2017;Qualificação Viária;PR;Pitanga;Caixa Econômica Federal;Prefeitura Municipal de Pitanga;Qualificação Viária do Prefeitura Municipal de Pitanga;R$ 131.006,62;R$ 2.489.125,70;R$ 2.620.132,32
Pré-selecionada pelo Gestor da Aplicação;421.2.3108/2017;Qualificação Viária;SC;Faxinal dos Guedes;Caixa Econômica Federal;Prefeitura Municipal de Faxinal dos Guedes;Qualificação Viária do Prefeitura Municipal de Faxinal dos Guedes;R$ 37.487,43;R$ 712.260,97;R$ 749.748,40
Selecionada pelo gestor da aplicação;855.2.1810/2017;Qualificação Viária;SC;Morro Grande;Caixa Econômica Federal;Prefeitura Municipal de Morro Grande;Qualificação Viária do Prefeitura Municipal de Morro Grande;R$ 115.345,24;R$ 2.191.559,47;R$ 2.306.904,71
Em análise pelo administrador do Agente Financeiro;68.2.0808/2017;Qualificação Viária;PR;Apucarana;Caixa Econômica Federal;Prefeitura Municipal de Apucarana;Qualificação Viária do Prefeitura Municipal de Apucarana;R$ 56.800,00;R$ 1.079.200,00;R$ 1.136.000,00
Selecionada pelo gestor da aplicação;533.2.1509/2017;Qualificação Viária;SC;Monte Castelo;Caixa Econômica Federal;Prefeitura Municipal de Monte Castelo;Qualificação Viária do Prefeitura Municipal de Monte Castelo;R$ 92.250,27;R$ 1.516.313,75;R$ 1.608.564,02
Não enquadrada pelo Agente Financeiro;620.2.2209/2017;Qualificação Viária;SC;Bombinhas;Caixa Econômica Federal;Prefeitura Municipal de Bombinhas;Qualificação Viária do Prefeitura Municipal de Bombinhas;R$ 1.095.018,61;R$ 5.000.000,00;R$ 6.095.018,61
Em análise de enquadramento;447.2.0409/2017;Qualificação Viária;PB;Lastro;Caixa Econômica Federal;Prefeitura Municipal de Lastro;Qualificação Viária do Prefeitura Municipal de Lastro;R$ 50.250,00;R$ 954.750,00;R$ 1.005.000,00
Em análise de enquadramento;797.2.0910/2017;Qualificação Viária;CE;Tianguá;Caixa Econômica Federal;Prefeitura Municipal de Tianguá;Qualificação Viária do Prefeitura Municipal de Tianguá;R$ 806.110,75;R$ 15.316.104,25;R$ 16.122.215,00
Em análise de enquadramento;503.2.1209/2017;Qualificação Viária;SP;Itupeva;Caixa Econômica Federal;Prefeitura Municipal de Itupeva;Qualificação Viária do Prefeitura Municipal de Itupeva;R$ 184.900,00;R$ 3.513.100,00;R$ 3.698.000,00
Selecionada pelo gestor da aplicação;826.2.1310/2017;Qualificação Viária;RS;Jaguari;Caixa Econômica Federal;Prefeitura Municipal de Jaguari;Qualificação Viária do Prefeitura Municipal de Jaguari;R$ 212.050,00;R$ 4.028.950,00;R$ 4.241.000,00
Pré-selecionada pelo Gestor da Aplicação;87.2.1008/2017;Qualificação Viária;PR;Apucarana;Caixa Econômica Federal;Prefeitura Municipal de Apucarana;Qualificação Viária do Prefeitura Municipal de Apucarana;R$ 60.000,00;R$ 1.140.000,00;R$ 1.200.000,00
Não enquadrada pelo Agente Financeiro;272.2.2508/2017;Qualificação Viária;RS;Salvador do Sul;Caixa Econômica Federal;Prefeitura Municipal de Salvador do Sul;Qualificação Viária do Prefeitura Municipal de Salvador do Sul;R$ 84.525,00;R$ 1.605.975,00;R$ 1.690.500,00
Não enquadrada pelo Agente Financeiro;629.2.2509/2017;Qualificação Viária;MG;Itaúna;Caixa Econômica Federal;Prefeitura Municipal de Itaúna;Qualificação Viária do Prefeitura Municipal de Itaúna;R$ 649.817,47;R$ 12.346.531,88;R$ 12.996.349,35
Não enquadrada pelo Agente Financeiro;625.2.2509/2017;Qualificação Viária;SC;Dionísio Cerqueira;Caixa Econômica Federal;Prefeitura Municipal de Dionísio Cerqueira;Qualificação Viária do Prefeitura Municipal de Dionísio Cerqueira;R$ 250.000,00;R$ 4.750.000,00;R$ 5.000.000,00
Não enquadrada pelo Agente Financeiro;395.2.2908/2017;Qualificação Viária;SP;Presidente Epitácio;Caixa Econômica Federal;Prefeitura Municipal de Presidente Epitácio;Qualificação Viária do Prefeitura Municipal de Presidente Epitácio;R$ 176.950,00;R$ 3.362.050,00;R$ 3.539.000,00
Pré-selecionada pelo Gestor da Aplicação;420.24.3008/2017;Qualificação Viária;SP;Rio das Pedras;Caixa Econômica Federal;Prefeitura Municipal de Rio das Pedras;Qualificação Viária do Prefeitura Municipal de Rio das Pedras;R$ 258.500,00;R$ 4.911.500,00;R$ 5.170.000,00
Em análise de enquadramento;156.2.1808/2017;Qualificação Viária;PR;Andirá;Caixa Econômica Federal;Prefeitura Municipal de Andirá;Qualificação Viária do Prefeitura Municipal de Andirá;R$ 79.091,88;R$ 1.502.745,54;R$ 1.581.837,42
Em análise de enquadramento;590.2.2109/2017;Qualificação Viária;RS;Vitória das Missões;Caixa Econômica Federal;Prefeitura Municipal de Vitória das Missões;Qualificação Viária do Prefeitura Municipal de Vitória das Missões;R$ 161.800,00;R$ 3.074.200,00;R$ 3.236.000,00
Em análise de enquadramento;565.2.1909/2017;Qualificação Viária;GO;Mineiros;Caixa Econômica Federal;Prefeitura Municipal de Mineiros;Qualificação Viária do Prefeitura Municipal de Mineiros;R$ 653.142,61;R$ 12.409.709,45;R$ 13.062.852,06
Selecionada pelo gestor da aplicação;71.2.0808/2017;Qualificação Viária;PR;Apucarana;Caixa Econômica Federal;Prefeitura Municipal de Apucarana;Qualificação Viária do Prefeitura Municipal de Apucarana;R$ 83.000,00;R$ 1.577.000,00;R$ 1.660.000,00
Não enquadrada pelo Agente Financeiro;735.2.0410/2017;Qualificação Viária;MS;Guia Lopes da Laguna;Caixa Econômica Federal;Prefeitura  Municipal de Guia Lopes da Laguna;Qualificação Viária do Prefeitura  Municipal de Guia Lopes da Laguna;R$ 51.889,90;R$ 985.908,00;R$ 1.037.797,90
Não enquadrada pelo Agente Financeiro;455.24.0509/2017;Qualificação Viária;MS;Dourados;Caixa Econômica Federal;Prefeitura Municipal de Dourados;Qualificação Viária do Prefeitura Municipal de Dourados;R$ 1.500.000,00;R$ 28.500.000,00;R$ 30.000.000,00
Não enquadrada pelo Agente Financeiro;451.25.0409/2017;Qualificação Viária;SP;Araras;Caixa Econômica Federal;Prefeitura Municipal de Araras;Qualificação Viária do Prefeitura Municipal de Araras;R$ 403.750,00;R$ 7.671.250,00;R$ 8.075.000,00
Em análise de enquadramento;719.2.0210/2017;Qualificação Viária;PR;São Miguel do Iguaçu;Caixa Econômica Federal;Prefeitura Municipal de São Miguel do Iguaçu;Qualificação Viária do Prefeitura Municipal de São Miguel do Iguaçu;R$ 123.090,00;R$ 2.338.710,00;R$ 2.461.800,00
Selecionada pelo gestor da aplicação;69.2.0808/2017;Qualificação Viária;PR;Apucarana;Caixa Econômica Federal;Prefeitura Municipal de Apucarana;Qualificação Viária do Prefeitura Municipal de Apucarana;R$ 118.750,00;R$ 2.256.250,00;R$ 2.375.000,00
Selecionada pelo gestor da aplicação;133.24.1608/2017;Qualificação Viária;SP;Mogi Guaçu;Caixa Econômica Federal;Prefeitura Municipal de Mogi Guaçu;Qualificação Viária do Prefeitura Municipal de Mogi Guaçu;R$ 1.479.554,59;R$ 28.111.537,10;R$ 29.591.091,69
Pré-selecionada pelo Gestor da Aplicação;410.24.3008/2017;Qualificação Viária;MS;Dois Irmãos do Buriti;Caixa Econômica Federal;Prefeitura Municipal de Dois Irmãos do Buriti;Qualificação Viária do Prefeitura Municipal de Dois Irmãos do Buriti;R$ 183.290,41;R$ 3.482.517,69;R$ 3.665.808,10
Em análise de enquadramento;664.24.2709/2017;Qualificação Viária;MG;São José da Lapa;Banco de Desenvolvimento de Minas Gerais – BDMG;Prefeitura Municipal de São José da Lapa;Qualificação Viária do Prefeitura Municipal de São José da Lapa;R$ 656.032,56;R$ 12.464.618,54;R$ 13.120.651,10
Em análise de enquadramento;747.2.0510/2017;Qualificação Viária;CE;Pacatuba;Caixa Econômica Federal;Prefeitura Municipal de Pacatuba;Qualificação Viária do Prefeitura Municipal de Pacatuba;R$ 365.075,85;R$ 6.936.441,10;R$ 7.301.516,95
Em análise de enquadramento;846.2.1710/2017;Qualificação Viária;SP;Cubatão;Caixa Econômica Federal;Prefeitura Municipal de Cubatão;Qualificação Viária do Prefeitura Municipal de Cubatão;R$ 1.317.165,40;R$ 25.026.142,40;R$ 26.343.307,80
Selecionada pelo gestor da aplicação;773.2.0610/2017;Qualificação Viária;RS;Estrela;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Estrela;Qualificação Viária do Prefeitura Municipal de Estrela;R$ 516.699,63;R$ 9.817.292,78;R$ 10.333.992,41
Pré-selecionada pelo Gestor da Aplicação;630.2.2509/2017;Qualificação Viária;SC;Itapema;Caixa Econômica Federal;Prefeitura Municipal de Itapema;Qualificação Viária do Prefeitura Municipal de Itapema;R$ 209.509,93;R$ 3.980.688,58;R$ 4.190.198,51
Pré-selecionada pelo Gestor da Aplicação;948.2.3010/2017;Qualificação Viária;SC;Maravilha;Caixa Econômica Federal;Prefeitura Municipal de Maravilha;Qualificação Viária do Prefeitura Municipal de Maravilha;R$ 500.000,00;R$ 9.500.000,00;R$ 10.000.000,00
Não enquadrada pelo Agente Financeiro;728.2.0310/2017;Qualificação Viária;BA;Coronel João Sá;Caixa Econômica Federal;Prefeitura Municipal de Coronel João Sá;Qualificação Viária do Prefeitura Municipal de Coronel João Sá;R$ 245.742,20;R$ 4.669.081,88;R$ 4.914.824,08
Pré-selecionada pelo Gestor da Aplicação;211.3.2308/2017;Transporte Não Motorizado;SC;Guaramirim;Caixa Econômica Federal;Prefeitura Municipal de Guaramirim;Transporte Não Motorizado do Prefeitura Municipal de Guaramirim;R$ 90.000,00;R$ 1.707.142,00;R$ 1.797.142,00
Em análise de enquadramento;599.2.2109/2017;Qualificação Viária;MG;Serro;Caixa Econômica Federal;Prefeitura Municipal de Serro;Qualificação Viária do Prefeitura Municipal de Serro;R$ 237.104,96;R$ 4.504.994,08;R$ 4.742.099,04
Em análise de enquadramento;658.25.2709/2017;Qualificação Viária;SP;Santa Bárbara d'Oeste;Caixa Econômica Federal;Prefeitura Municipal de Santa Bárbara d'Oeste;Qualificação Viária do Prefeitura Municipal de Santa Bárbara d'Oeste;R$ 113.000,00;R$ 2.147.000,00;R$ 2.260.000,00
Pré-selecionada pelo Gestor da Aplicação;751.2.0510/2017;Qualificação Viária;PR;Medianeira;Caixa Econômica Federal;Prefeitura Municipal de Medianeira;Qualificação Viária do Prefeitura Municipal de Medianeira;R$ 170.000,00;R$ 3.230.000,00;R$ 3.400.000,00
Não enquadrada pelo Agente Financeiro;732.2.0410/2017;Qualificação Viária;PR;Araucária;Caixa Econômica Federal;Prefeitura Municipal de Araucária;Qualificação Viária do Prefeitura Municipal de Araucária;R$ 462.531,14;R$ 8.788.091,47;R$ 9.250.622,61
Não enquadrada pelo Agente Financeiro;293.2.2508/2017;Qualificação Viária;RS;Pareci Novo;Caixa Econômica Federal;Prefeitura Municipal de Pareci Novo;Qualificação Viária do Prefeitura Municipal de Pareci Novo;R$ 195.600,00;R$ 3.716.400,00;R$ 3.912.000,00
Não enquadrada pelo Agente Financeiro;636.2.2609/2017;Qualificação Viária;RS;Planalto;Caixa Econômica Federal;Prefeitura Municipal de Planalto;Qualificação Viária do Prefeitura Municipal de Planalto;R$ 630.000,00;R$ 4.064.202,38;R$ 4.694.202,38
Pré-selecionada pelo Gestor da Aplicação;1277.24.1112/2017;Qualificação Viária;SP;Dourado;Caixa Econômica Federal;Prefeitura Municipal de Dourado;Qualificação Viária do Prefeitura Municipal de Dourado;R$ 250.000,00;R$ 4.740.000,00;R$ 4.990.000,00
Não enquadrada pelo Agente Financeiro;475.2.0709/2017;Qualificação Viária;PE;Vertentes;Caixa Econômica Federal;Prefeitura Municipal de Vertentes;Qualificação Viária do Prefeitura Municipal de Vertentes;R$ 193.413,12;R$ 3.674.849,19;R$ 3.868.262,31
Não enquadrada pelo Agente Financeiro;729.2.0410/2017;Qualificação Viária;SC;Timbé do Sul;Caixa Econômica Federal;Prefeitura Municipal de Timbé do Sul;Qualificação Viária do Prefeitura Municipal de Timbé do Sul;R$ 60.564,12;R$ 1.150.718,24;R$ 1.211.282,36
Pré-selecionada pelo Gestor da Aplicação;889.2.2410/2017;Qualificação Viária;RS;Imigrante;Caixa Econômica Federal;Prefeitura Municipal de Imigrante;Qualificação Viária do Prefeitura Municipal de Imigrante;R$ 139.931,31;R$ 2.658.694,69;R$ 2.798.626,00
Em análise de enquadramento;469.2.0609/2017;Qualificação Viária;RS;Cotiporã;Caixa Econômica Federal;Prefeitura Municipal de Cotiporã;Qualificação Viária do Prefeitura Municipal de Cotiporã;R$ 147.340,22;R$ 2.799.464,01;R$ 2.946.804,23
Não enquadrada pelo Agente Financeiro;456.2.0509/2017;Qualificação Viária;RS;Vale Verde;Caixa Econômica Federal;Prefeitura Municipal de Vale Verde;Qualificação Viária do Prefeitura Municipal de Vale Verde;R$ 208.840,69;R$ 3.967.973,01;R$ 4.176.813,70
Pré-selecionada pelo Gestor da Aplicação;463.2.0609/2017;Qualificação Viária;SC;Alto Bela Vista;Caixa Econômica Federal;Prefeitura Municipal de Alto Bela Vista;Qualificação Viária do Prefeitura Municipal de Alto Bela Vista;R$ 81.235,50;R$ 1.543.474,50;R$ 1.624.710,00
Em análise de enquadramento;508.2.1309/2017;Qualificação Viária;SP;Suzanápolis;Caixa Econômica Federal;Prefeitura Municipal de Suzanápolis;Qualificação Viária do Prefeitura Municipal de Suzanápolis;R$ 60.000,00;R$ 1.140.000,00;R$ 1.200.000,00
Em análise de enquadramento;70.2.0808/2017;Qualificação Viária;PR;Apucarana;Caixa Econômica Federal;Prefeitura Municipal de Apucarana;Qualificação Viária do Prefeitura Municipal de Apucarana;R$ 134.100,00;R$ 2.547.900,00;R$ 2.682.000,00
Em análise de enquadramento;606.24.2109/2017;Qualificação Viária;PE;Cabrobó;Caixa Econômica Federal;Prefeitura Municipal de Cabrobó;Qualificação Viária do Prefeitura Municipal de Cabrobó;R$ 749.956,57;R$ 14.249.174,76;R$ 14.999.131,33
Não enquadrada pelo Agente Financeiro;261.2.2408/2017;Qualificação Viária;SP;Serrana;Caixa Econômica Federal;Prefeitura Municipal de Serrana;Qualificação Viária do Prefeitura Municipal de Serrana;R$ 361.133,44;R$ 6.861.535,24;R$ 7.222.668,68
Em análise de enquadramento;477.2.0809/2017;Qualificação Viária;PR;Guaíra;Caixa Econômica Federal;Prefeitura Municipal de Guaíra;Qualificação Viária do Prefeitura Municipal de Guaíra;R$ 100.000,00;R$ 1.900.000,00;R$ 2.000.000,00
Pré-selecionada pelo Gestor da Aplicação;707.2.2909/2017;Qualificação Viária;SC;Campos Novos;Caixa Econômica Federal;Prefeitura Municipal de Campos Novos;Qualificação Viária do Prefeitura Municipal de Campos Novos;R$ 749.937,80;R$ 14.248.818,09;R$ 14.998.755,89
Pré-selecionada pelo Gestor da Aplicação;479.3.1009/2017;Transporte Não Motorizado;SC;Faxinal dos Guedes;Caixa Econômica Federal;Prefeitura Municipal de Faxinal dos Guedes;Transporte Não Motorizado do Prefeitura Municipal de Faxinal dos Guedes;R$ 26.580,69;R$ 505.033,01;R$ 531.613,70
Pré-selecionada pelo Gestor da Aplicação;555.2.1909/2017;Qualificação Viária;SC;Forquilhinha;Caixa Econômica Federal;Prefeitura Municipal de Forquilhinha;Qualificação Viária do Prefeitura Municipal de Forquilhinha;R$ 750.000,00;R$ 14.250.000,00;R$ 15.000.000,00
Não enquadrada pelo Agente Financeiro;572.24.2009/2017;Qualificação Viária;SC;Águas Frias;Caixa Econômica Federal;Prefeitura Municipal de Águas Frias;Qualificação Viária do Prefeitura Municipal de Águas Frias;R$ 97.790,00;R$ 1.858.010,00;R$ 1.955.800,00
Não enquadrada pelo Agente Financeiro;571.3.2009/2017;Transporte Não Motorizado;SC;Águas Frias;Caixa Econômica Federal;Prefeitura Municipal de Águas Frias;Transporte Não Motorizado do Prefeitura Municipal de Águas Frias;R$ 42.000,00;R$ 798.000,00;R$ 840.000,00
Devolvida ao Proponente;592.2.2109/2017;Qualificação Viária;PB;Monteiro;Caixa Econômica Federal;Prefeitura Municipal de Monteiro;Qualificação Viária do Prefeitura Municipal de Monteiro;R$ 750.000,00;R$ 14.250.000,00;R$ 15.000.000,00
Pré-selecionada pelo Gestor da Aplicação;688.245.2809/2017;Qualificação Viária;TO;Araguaína;Caixa Econômica Federal;Prefeitura Municipal de Araguaína;Qualificação Viária do Prefeitura Municipal de Araguaína;R$ 411.216,30;R$ 7.813.109,51;R$ 8.224.325,81
Em análise pelo administrador do Agente Financeiro;517.24.1409/2017;Qualificação Viária;MT;Sinop;Caixa Econômica Federal;Prefeitura Municipal de Sinop;Qualificação Viária do Prefeitura Municipal de Sinop;R$ 1.525.044,88;R$ 28.975.852,59;R$ 30.500.897,47
Pré-selecionada pelo Gestor da Aplicação;836.2.1610/2017;Qualificação Viária;SC;Balneário Camboriú;Caixa Econômica Federal;Prefeitura Municipal de Balneário Camboriú;Qualificação Viária do Prefeitura Municipal de Balneário Camboriú;R$ 500.893,22;R$ 9.516.971,05;R$ 10.017.864,27
Selecionada pelo gestor da aplicação;556.2.1909/2017;Qualificação Viária;RS;Paverama;Caixa Econômica Federal;Prefeitura Municipal de Paverama;Qualificação Viária do Prefeitura Municipal de Paverama;R$ 249.987,80;R$ 4.749.767,80;R$ 4.999.755,60
Pré-selecionada pelo Gestor da Aplicação;1442.5.2812/2017;Plano de Mobilidade Urbana;SP;São Carlos;Caixa Econômica Federal;Prefeitura Municipal de São Carlos;Plano de Mobilidade Urbana do Prefeitura Municipal de São Carlos;R$ 53.000,00;R$ 1.007.000,00;R$ 1.060.000,00
Selecionada pelo gestor da aplicação;76.3.0808/2017;Transporte Não Motorizado;SC;Itapema;Caixa Econômica Federal;Prefeitura Municipal de Itapema;Transporte Não Motorizado do Prefeitura Municipal de Itapema;R$ 109.472,31;R$ 2.079.973,70;R$ 2.189.446,01
Pré-selecionada pelo Gestor da Aplicação;608.2.2209/2017;Qualificação Viária;SC;Marema;Caixa Econômica Federal;Prefeitura Municipal de Marema;Qualificação Viária do Prefeitura Municipal de Marema;R$ 142.005,00;R$ 2.698.095,00;R$ 2.840.100,00
Selecionada pelo gestor da aplicação;714.2.0210/2017;Qualificação Viária;RS;São Francisco de Assis;Caixa Econômica Federal;Prefeitura Municipal de São Francisco de Assis;Qualificação Viária do Prefeitura Municipal de São Francisco de Assis;R$ 201.663,08;R$ 3.831.598,41;R$ 4.033.261,49
Selecionada pelo gestor da aplicação;1472.2.0301/2018;Qualificação Viária;RS;Campina das Missões;Caixa Econômica Federal;Prefeitura Municipal de Campina das Missões;Qualificação Viária do Prefeitura Municipal de Campina das Missões;R$ 85.727,63;R$ 1.628.824,82;R$ 1.714.552,45
Em análise de enquadramento;3.2.2807/2017;Qualificação Viária;RS;Tabaí;Caixa Econômica Federal;Prefeitura Municipal de Tabaí;Qualificação Viária do Prefeitura Municipal de Tabaí;R$ 220.410,13;R$ 4.187.792,46;R$ 4.408.202,59
Pré-selecionada pelo Gestor da Aplicação;292.25.2508/2017;Qualificação Viária;RS;Novo Hamburgo;Caixa Econômica Federal;Prefeitura Municipal de Novo Hamburgo;Qualificação Viária do Prefeitura Municipal de Novo Hamburgo;R$ 1.099.657,50;R$ 7.960.000,00;R$ 9.059.657,50
Em análise de enquadramento;480.2.1109/2017;Qualificação Viária;ES;Viana;Caixa Econômica Federal;Prefeitura Municipal de Viana;Qualificação Viária do Prefeitura Municipal de Viana;R$ 195.532,03;R$ 3.715.108,45;R$ 3.910.640,48
Em análise de enquadramento;693.2.2909/2017;Qualificação Viária;SC;Botuverá;Caixa Econômica Federal;Prefeitura Municipal de Botuverá;Qualificação Viária do Prefeitura Municipal de Botuverá;R$ 55.947,29;R$ 1.062.998,45;R$ 1.118.945,74
Não enquadrada pelo Agente Financeiro;648.2.2609/2017;Qualificação Viária;MG;Iturama;Caixa Econômica Federal;Prefeitura Municipal de Iturama;Qualificação Viária do Prefeitura Municipal de Iturama;R$ 750.000,00;R$ 14.250.000,00;R$ 15.000.000,00
Em análise de enquadramento;600.2.2109/2017;Qualificação Viária;MG;Serro;Caixa Econômica Federal;Prefeitura Municipal de Serro;Qualificação Viária do Prefeitura Municipal de Serro;R$ 241.352,14;R$ 4.585.690,54;R$ 4.827.042,68
Em análise de enquadramento;1324.24.1812/2017;Qualificação Viária;SP;Itapevi;Caixa Econômica Federal;Prefeitura Municipal de Itapevi;Qualificação Viária do Prefeitura Municipal de Itapevi;R$ 1.492.600,00;R$ 28.359.400,00;R$ 29.852.000,00
